Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
BENIGN,0.374540,0.950714,0.731994,0.598658,0.156019,0.155995,0.058084,0.866176,0.601115,0.708073,0.020584,0.969910,0.832443,0.212339,0.181825,0.183405,0.304242,0.524756,0.431945,0.291229,0.611853,0.139494,0.292145,0.366362,0.456070,0.785176,0.199674,0.514234,0.592415,0.046450,0.607545,0.170524,0.065052,0.948886,0.965632,0.808397,0.304614,0.097672,0.684233,0.440152,0.122038,0.495177,0.034389,0.909320,0.258780,0.511827,0.405453,0.078618,0.019697,0.808176,0.304614,0.097672,0.155995,0.304614,0.097672,0.950714,0.598658,0.731994,0.156019,0.374540,0.950714,0.731994,0.598658,0.201868,0.253700,0.495177,0.034389,0.909320,0.258780,0.511827,0.405453,0.078618,0.019697,0.808176,0.304614,0.097672,0.950714,0.731994
Bot,0.237820,0.195218,0.201157,0.162022,0.074800,0.133090,0.219892,0.330263,0.222042,0.091777,0.218063,0.069085,0.219994,0.224580,0.091831,0.459527,0.266477,0.233897,0.158897,0.215832,0.206479,0.073069,0.285052,0.292673,0.122823,0.295505,0.191777,0.116023,0.218479,0.055226,0.151891,0.253108,0.196052,0.165621,0.302547,0.272793,0.224530,0.257143,0.189099,0.116823,0.279936,0.178018,0.079225,0.062126,0.229869,0.202699,0.264897,0.180702,0.181820,0.143726,0.259697,0.217540,0.133090,0.137617,0.165621,0.195218,0.162022,0.201157,0.074800,0.177765,0.133064,0.216261,0.191088,0.638862,0.566384,0.605561,0.696680,0.289861,0.152777,0.268613,0.181680,0.072394,0.296614,0.177898,0.243093,0.102660,0.305478,0.289716
DDoS,0.067699,0.169116,0.087046,0.107069,0.090042,0.169116,0.087046,0.107069,0.090042,0.169116,0.087046,0.107069,0.090042,0.918435,0.985739,0.084567,0.124440,0.184637,0.106774,0.055019,0.184637,0.118617,0.071698,0.102451,0.118617,0.184637,0.102451,0.089765,0.177011,0.048399,0.127847,0.113113,0.071698,0.091820,0.122028,0.185261,0.111685,0.026453,0.148929,0.105434,0.055753,0.109618,0.000000,0.000000,0.145278,0.000000,0.000000,0.070640,0.000000,0.000000,0.054082,0.051459,0.133547,0.169116,0.091820,0.169116,0.107069,0.087046,0.090042,0.139601,0.125386,0.074533,0.127073,0.039219,0.058636,0.162344,0.098547,0.068543,0.059821,0.089716,0.074563,0.169116,0.087046,0.107069,0.090042,0.169116,0.087046,0.107069
DoS GoldenEye,0.191893,0.246090,0.208310,0.210629,0.135400,0.115027,0.100337,0.095397,0.167131,0.197834,0.098726,0.110380,0.235027,0.742459,0.185036,0.113890,0.220491,0.063490,0.255513,0.213614,0.161044,0.152088,0.197834,0.180742,0.205278,0.049764,0.245768,0.269527,0.097254,0.200014,0.268879,0.198571,0.214890,0.178090,0.235785,0.123450,0.176543,0.210378,0.098654,0.167890,0.245098,0.178054,0.034576,0.123456,0.098745,0.214567,0.000000,0.000000,0.000000,0.000000,0.213456,0.198765,0.115027,0.200014,0.235785,0.246090,0.210629,0.208310,0.135400,0.198765,0.165432,0.123456,0.098765,0.178902,0.245098,0.256781,0.167890,0.078901,0.089012,0.190123,0.201234,0.012345,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901
DoS Hulk,0.268543,0.189067,0.213450,0.240128,0.183745,0.702345,0.067845,0.189067,0.213450,0.240128,0.067845,0.189067,0.213450,0.724567,0.268543,0.189067,0.213450,0.240128,0.183745,0.267845,0.189067,0.213450,0.240128,0.183745,0.267845,0.189067,0.213450,0.240128,0.183745,0.267845,0.189067,0.213450,0.240128,0.183745,0.267845,0.189067,0.213450,0.240128,0.183745,0.267845,0.189067,0.213450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267845,0.189067,0.702345,0.267845,0.183745,0.189067,0.240128,0.213450,0.183745,0.267845,0.189067,0.213450,0.240128,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901,0.089012,0.090123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowhttptest,0.823451,0.067890,0.078901,0.089012,0.090123,0.101234,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.089012,0.090123,0.101234,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.090123,0.067890,0.078901,0.089012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067890,0.078901,0.101234,0.067890,0.090123,0.067890,0.089012,0.078901,0.090123,0.067890,0.078901,0.089012,0.090123,0.012345,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901,0.089012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowloris,0.856789,0.056789,0.067890,0.078901,0.089012,0.090123,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.045678,0.056789,0.067890,0.078901,0.089012,0.090123,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.089012,0.056789,0.067890,0.078901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056789,0.067890,0.090123,0.056789,0.089012,0.056789,0.078901,0.067890,0.089012,0.056789,0.067890,0.078901,0.089012,0.012345,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901,0.089012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FTP-Patator,0.389012,0.234567,0.245678,0.256789,0.267890,0.278901,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.245678,0.256789,0.267890,0.278901,0.289012,0.290123,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.234567,0.245678,0.278901,0.234567,0.267890,0.234567,0.256789,0.245678,0.267890,0.234567,0.245678,0.256789,0.267890,0.123456,0.134567,0.145678,0.156789,0.167890,0.178901,0.189012,0.190123,0.012345,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901
Infiltration,0.312345,0.423456,0.434567,0.445678,0.456789,0.467890,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.434567,0.445678,0.456789,0.467890,0.478901,0.489012,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.456789,0.423456,0.434567,0.445678,0.023456,0.034567,0.045678,0.056789,0.067890,0.000000,0.000000,0.000000,0.423456,0.434567,0.467890,0.423456,0.456789,0.423456,0.445678,0.434567,0.456789,0.423456,0.434567,0.445678,0.456789,0.223456,0.234567,0.245678,0.256789,0.267890,0.278901,0.289012,0.290123,0.112345,0.123456,0.134567,0.145678,0.156789,0.167890,0.178901
PortScan,0.034567,0.045678,0.000000,0.000000,0.000000,0.056789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012345,0.023456,0.034567,0.000000,0.023456,0.034567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012345,0.000000,0.012345,0.000000,0.000000,0.034567,0.023456,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023456,0.056789,0.000000,0.000000,0.045678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012345,0.012345,0.000000,0.012345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
